Location,Site,Site name,STA,Start,Lat,Lon,WMO,Nadmorska visina (m),Distance_to_Coast_km,Klimatska zona,TPI,Oznaka_stanice
Newcastle,61055.0,NEWCASTLE NOBBYS SIGNAL STATION AWS,NSW,1862.0,-32.9184,151.798,94774.0,33,0.4353487877,Suptropska,10.56,
Williamtown,61078.0,WILLIAMTOWN RAAF,NSW,1942.0,-32.7939,151.836,94776.0,8,6.525564754,Suptropska,0.89,YWLM
Richmond,67105.0,RICHMOND RAAF,NSW,1993.0,-33.6004,150.776,95753.0,21,41.47724524,Suptropska,-1.11,
Sydney,66214.0,SYDNEY (OBSERVATORY HILL),NSW,2017.0,-33.8593,151.205,94768.0,39,3.865867017,Suptropska,26.44,
SydneyAirport,66037.0,SYDNEY AIRPORT AMO,NSW,1929.0,-33.9465,151.173,94767.0,6,2.077088316,Suptropska,3.56,
BadgerysCreek,67108.0,BADGERYS CREEK AWS,NSW,1995.0,-33.8969,150.728,94752.0,82,36.21804851,Suptropska,2.67,
NorahHead,61366.0,NORAH HEAD AWS,NSW,1989.0,-33.2814,151.577,95770.0,19,0.1404618899,Suptropska,5.0,
Penrith,67113.0,PENRITH LAKES AWS,NSW,1995.0,-33.7195,150.678,94763.0,25,50.38463841,Suptropska,6.56,
Canberra,70351.0,CANBERRA AIRPORT,NSW,2008.0,-35.3106,149.197,94926.0,577,101.2136765,Umerena,-0.33,YSCB
Tuggeranong,70339.0,TUGGERANONG (ISABELLA PLAINS) AWS,NSW,1996.0,-35.4184,149.094,94925.0,587,105.0542682,Umerena,-5.11,
Melbourne,86338.0,MELBOURNE (OLYMPIC PARK),VIC,2013.0,-37.8255,144.982,95936.0,8,6.176181506,Umerena,-5.0,
MelbourneAirport,86282.0,MELBOURNE AIRPORT,VIC,1970.0,-37.6654,144.833,94866.0,113,23.60134422,Umerena,2.56,YMEN
Watsonia,86068.0,VIEWBANK,VIC,1999.0,-37.7408,145.097,95874.0,75,19.57140429,Umerena,20.33,
Geelong,87184.0,BREAKWATER (GEELONG RACECOURSE),VIC,2011.0,-38.1737,144.377,94857.0,15,1.802223451,Umerena,0.78,
Albany,9500.0,ALBANY,WA,1877.0,-35.0289,117.881,94801.0,10,0.6337550669,Mediteranska,-9.22,YABA
Walpole,9611.0,WALPOLE,WA,1951.0,-34.9761,116.733,,55,3.506653269,Mediteranska,-3.56,
Perth,9225.0,PERTH METRO,WA,1993.0,-31.9192,115.873,94608.0,25,12.15998115,Mediteranska,2.22,YPJT
PerthAirport,9021.0,PERTH AIRPORT M.O.,WA,1944.0,-31.9275,115.976,94610.0,15,21.77401958,Mediteranska,-3.33,
PearceRAAF,9053.0,PEARCE RAAF,WA,1937.0,-31.6669,116.019,94612.0,40,29.786818,Mediteranska,0.56,
Brisbane,40913.0,BRISBANE,QLD,1999.0,-27.4808,153.039,94576.0,8,15.28062273,Suptropska,1.11,YBBN
GoldCoast,40764.0,GOLD COAST SEAWAY,QLD,1987.0,-27.939,153.428,94580.0,5,0.5768085317,Suptropska,3.11,
AliceSprings,15590.0,ALICE SPRINGS AIRPORT,NT,1940.0,-23.7951,133.889,94326.0,546,900.8367549,Pustinjska,0.67,YBAS
Woomera,16001.0,WOOMERA AERODROME,SA,1949.0,-31.1558,136.805,94659.0,167,177.6070131,Pustinjska,2.33,YPWR
Cobar,48027.0,COBAR MO,NSW,1962.0,-31.484,145.829,94711.0,260,553.1781338,Polusušna,7.11,YCBA
Mildura,76031.0,MILDURA AIRPORT,VIC,1946.0,-34.2358,142.087,94693.0,50,279.0113402,Polusušna,-0.44,YMIA
Moree,53115.0,MOREE AERO,NSW,1995.0,-29.4898,149.847,95527.0,213,324.9600043,Polusušna,0.11,YMOR
SalmonGums,12071.0,SALMON GUMS RES.STN.,WA,1932.0,-32.9869,121.624,95639.0,249,93.32513009,Polusušna,-1.89,
Adelaide,23000.0,ADELAIDE (WEST TERRACE / NGAYIRDAPIRA),SA,1839.0,-34.9257,138.583,94648.0,48,8.014206274,Mediteranska,-1.56,YPAD
Nuriootpa,23373.0,NURIOOTPA PIRSA,SA,1996.0,-34.4761,139.006,94681.0,275,52.0711146,Mediteranska,-5.22,
CoffsHarbour,59151.0,COFFS HARBOUR AIRPORT,NSW,2013.0,-30.3189,153.116,95729.0,5,1.605903953,Suptropska,-4.78,YCFS
NorfolkIsland,200288.0,NORFOLK ISLAND AERO,NSW,1890.0,-29.0389,167.941,94996.0,112,886.8124083,Suptropska,5.89,YSNF
Albury,72160.0,ALBURY AIRPORT AWS,NSW,1993.0,-36.0662,146.953,95896.0,164,222.2392957,Umerena,-1.78,YMAY
WaggaWagga,72150.0,WAGGA WAGGA AMO,NSW,1941.0,-35.1583,147.458,94910.0,212,255.6587946,Umerena,0.89,YSWG
Ballarat,89002.0,BALLARAT AERODROME,VIC,1908.0,-37.5127,143.791,94852.0,436,84.40397377,Umerena,-0.67,
Dartmoor,90194.0,DARTMOOR,VIC,2009.0,-37.9222,141.261,95822.0,43,25.26364398,Umerena,3.67,
MountGambier,26021.0,MOUNT GAMBIER AERO,SA,1941.0,-37.7473,140.774,94821.0,63,34.34558327,Mediteranska,5.11,YMTG
Launceston,91237.0,LAUNCESTON (TI TREE BEND),TAS,1980.0,-41.4194,147.122,94969.0,5,31.71699013,Umerena,2.33,
Hobart,94029.0,HOBART (ELLERSLIE ROAD),TAS,1882.0,-42.8897,147.328,94970.0,51,1.029156228,Umerena,20.11,YMHB
MountGinini,70349.0,MOUNT GININI AWS,NSW,2004.0,-35.5293,148.772,95925.0,1760,130.2546603,Planinska,88.11,
